Niveau;Vocabulaire;Signification;Lecture
N5;浴びる [一段];"prendre une douche, prendre un bain, se dorer au
soleil";あびる
N5;危ない;dangereux;あぶない
N3;油;huile;あぶら
N2;脂;graisse animale, lard;あぶら
N4;;Afrique;アフリカ
N2;炙る [五段];réchauffer, sécher (auprès d'un feu);あぶる
N2;溢れる [一段];inonder, déborder;あふれる
N5;甘い;doux, délicieux, sucré;あまい
N2;雤戸;porte coulissante protégeant des orages;あまど
N2;甘やかす [五段];choyer, gâter un enfant;あまやかす
N5;余り;pas tellement (+négatif);あまり
N2;余る [五段];dépasser;あまる
N2;網;filet, toile;あみ
N2;編物;tricot;あみもの
N2;編む [五段];assembler, coudre;あむ
N5;雤;pluie;あめ
N5;飴;bonbon, sucrerie;あめ
N4;;Amérique;アメリカ
N2;危うい;dangereux, risqué;あやうい
N2;怪しい;incertain, suspicieux, douteux, suspect;あやしい
N3;誤り;erreur;あやまり
N4;謝る [五段];s'excuser;あやまる
N3;粗い;grossier (texture), rugueux (surface);あらい
N2;荒い;brutal, violent;あらい
N5;洗う [五段];laver;あらう
N3;嵐;tempête;あらし
N2;粗筊;résumé, synopsis;あらすじ
N2;争う [五段];se disputer, s'affronter;あらそう
N3;新た;nouvellement, fraîchement;あらた
N2;改めて;à nouveau, une nouvelle fois;あらためて
N2;改める [一段];modifier, renouveler;あらためる
N3;有らゆる;tous, toutes;あらゆる
N3;表す・現す・著す [五段];montrer, afficher, révéler;あらわす
N3;現れ;manifestation, incarnation, expression;あらわれ
N3;"現れる・表れる・現われる
[一段]";apparaître, se dévoiler, s'exprimer (sentiment);あらわれる
N2;有難い;reconnaissant;ありがたい
N5;有る [五段];avoir, posséder;ある
N5;在る [五段];être, se trouver, exister;ある
N3;或る;un certain;ある
N3;或いは;ou bien;あるいは
N5;歩く [五段];marcher;あるく
N4;;alcool;アルコール
N4;;travail à temps partiel;アルバイト
N3;;album;アルバム
N5;彼;ceci (loin du locuteur et de l'interlocuteur);あれ
N2;彼此;divers, diverses choses;あれこれ
N2;荒れる [一段];être orageux, perdre son sang-froid;あれる
N3;泡;mousse, bulle;あわ
N3;吅わせる [一段];se connecter, se mélanger;あわせる
N2;慌しい;déconcerté, confus;あわただしい
N2;慌てる [一段];devenir confus, agité, paniquer;あわてる
N3;哀れ;pitié, compassion;あわれ
N3;案;plan, idée, projet;あん
N2;安易;facile, simple;あんい
N2;案外;contre toute attente, inattendu;あんがい
N3;暗記;mémorisation, par coeur;あんき
N4;安心する;être tranquille;あんしんする
N4;安全;sûr;あんぜん
N3;安定;équilibre, stabilité;あんてい
N2;;antenne;アンテナ
N4;;comme ça;あんな
N4;;ce genre de;あんな
N4;案内;information, renseignement;あんない
N4;案内する;guider, faire visiter;あんないする
N3;;à tel point que;あんなに
N5;余り;excès, trop plein, surplus;"あんまり・あま
り"
N3;胃;estomac, ventre;い
N2;位;place, rang;い
N5;良い;plaisant, agréable, bien;いい・よい
N5;否;non;いいえ, いえ
N2;言い出す [五段];se mettre à parler, briser la glace;いいだす
N2;言い付ける [一段];rapporter à quelqu'un, demander de faire, ordonner;いいつける
N3;委員;membre d'un comité;いいん
N5;言う [五段];dire;いう
N5;家;maison;いえ
N4;以下;moins de, au dessous-de, sous;いか
N4;以外;excepté;いがい
N3;意外;inattendu, surprenant;いがい
N4;如何;comment ?;いかが
N4;医学;médecine;いがく
N3;息;souffle, respiration;いき
N2;意義;moral;いぎ
N3;行き;déplacement, aller simple;いき・ゆき
N2;生き生き;plein d'entrain, animé, de façon très vivante;いきいき
N3;勢い;entrain, vigueur, force;いきおい
N2;行成;brusquement, soudainement;いきなり
N3;生き物;être vivant, animal;いきもの
N4;生きる [一段];vivre, exister;いきる
N2;幾;plusieurs, quelques;いく
N5;行く [五段]s;aller;いく・ゆく
N2;育児する;élever des enfants, s'occuper d'enfants;いくじする
N5;幾つ;combien ? (quantité);いくつ
N2;幾分;un peu, une partie;いくぶん
N5;幾ら;combien ? (prix);いくら
N5;池;étang;いけ
N3;行けない;ne doit pas faire, sans espoir, pas bon;いけない
N2;生花;ikebana, arrangement floral;いけばな
N4;意見;opinion, avis;いけん
N2;以後;après quoi, dorénavant;いご
N2;以降;désormais, dorénavant, à l'avenir;いこう
N2;;égal à;イコール
N2;勇ましい;courageux;いさましい
N5;石;pierre, roc;いし
N3;医師;médecin;いし
N3;意志;volonté;いし
N3;意思;intention, but;いし
N3;維持;conservation, entretien;いじ
N3;意識;conscience;いしき
N2;意識する;avoir conscience;いしきする
N4;苛める [一段];embêter;いじめる
N5;医者;docteur, médecin;いしゃ
N4;以上;plus de, au dessus-de, davantage;いじょう
N3;異常;étrange, anormal;いじょう
N2;衣食住;"nécessités de la vie (des vêtements, de la nourriture
et un abri)";いしょくじゅう
N2;意地悪;malicieux, désobligeant;いじわる
N5;椅子;chaise;いす
N3;泉;fontaine, source;いずみ
N3;孰;où ?, qui ?, quoi ?;いずれ
N2;孰;un autre jour, une autre fois;いずれ
N3;以前;auparavant, autrefois;いぜん
N5;忙しい;occupé;いそがしい
N4;急ぐ [五段];se dépêcher;いそぐ
N3;板;planche, plaque;いた
N5;痛い;douloureux;いたい
N3;偉大;grandiose;いだい
N4;致す [五段];faire (hum);いたす
N3;悪戯;mauvaise blague, sale tour;いたずら
N5;戴きます;"merci pour ce repas (expression de gratitude avant
de commencer à manger)";いただきます
N4;戴く・頂く [五段];recevoir (hum), manger ou boire;いただく
N3;痛み;douleur;いたみ
N2;痛む [五段];être blessé, subir une douleur;いたむ
N3;至る [五段];arriver à, mener à, conduire à;いたる
N5;一;un;いち
N3;市;foire, marché;いち
N3;位置;place, position;いち
N2;一々;un par un, séparément;いちいち
N2;一忚;pour l'instant, pour le moment, provisoirement;いちおう
N3;一時;un moment, une heure, peu de temps;いちじ
N2;一段と;davantage, plus;いちだんと
N2;一段と;davantage;いちだんと
N4;一度;une fois;いちど
N3;一度に;tout d'un coup, tout à la fois;いちどに
N5;一日;un jour;いちにち
N2;一人称;première personne (grammaire);いちにんしょう
N3;市場;marché (aux légumes, aux poissons, d'un produit…);いちば
N5;一番;meilleur, le premier, le numéro 1;いちばん
N2;一部;"une section, une partie (d'un ensemble), un
exemplaire (d'un document)";いちぶ
N2;一流;de haut rang, du premier ordre, excellent;いちりゅう
N5;何時;quand ?;いつ
N3;一家;maison, famille, lignée, style;いっか
N5;五日;cinquième jour du mois, 5 jours;いつか
N3;何時か;un jour, à l'occasion;いつか
N3;一種;une sorte de, un genre de, un type de;いっしゅ
N5;一週間;une semaine;いっしゅうかん
N3;一瞬;un instant, un moment;いっしゅん
N5;一緒;ensemble;いっしょ
N3;一生;vie entière, existence;いっしょう
N4;一生懸命;de toute ses forces, très fort;"いっしょうけん
めい"
N2;一斉に;en même temps, simultanément;いっせいに
N3;一層;davantage, encore plus;いっそう
N3;一体;pas possible, en général, vraiment;いったい
N2;一旦;pour le moment, temporairement;いったん
N3;一致;coïncident, accord, conformité, coopération;いっち
N5;五つ;cinq;いつつ
N2;一定;fixé, déterminé;いってい
N2;行って来ます;"à tout à l'heure (se dit en partant et en ayant
l'intention de revenir)";いってきます
N4;行って参ります;"à tout à l'heure (se dit en partant lorsqu'on
reviendra plus tard) (poli)";"いってまいりま
す"
N3;何時でも;n'importe quand, jamais (+ négatif);いつでも
N4;行ってらっしゃい;"à tout à l'heure (se dit en partant lorsqu'on
reviendra plus tard)";"いってらっしゃ
い"
N2;何時の間にか;avant de s'en rendre compte, inaperçu;いつのまにか
N4;一杯;rempli, plein, ivre;いっぱい
N3;一般に;généralement, d'habitude;いっぱんに
N3;一方;d'une autre direction, d'un autre côté;いっぽう
N3;何時までも;pour toujours, éternellement;いつまでも
N5;何時も;toujours, à chaque fois, jamais (+négatif);いつも
N2;移転;transfert, déménagement;いてん
N4;糸;fil;いと
N2;井戸;puits;いど
N2;緯度;latitude;いど
N3;移動;déplacement, mouvement, migration;いどう
N2;移動する;se déplacer, migrer;いどうする
N3;従兄弟;cousin;いとこ
N2;従姉妹;cousine;いとこ
N4;以内;avant de, moins de;いない
N4;田舎;campagne;いなか
N5;犬;chien;いぬ
N3;稲;plant de riz;いね
N3;居眠り;assoupi, somnolant;いねむり
N2;居眠りする;être assoupi;いねむりする
N3;命;vie;いのち
N4;祈る [五段];prier pour;いのる
N2;威張る [五段];être fier, fanfaronner;いばる
N3;違反;violation, transgression;いはん
N2;鼾;ronflement;いびき
N3;衣服;vêtements;いふく
N5;今;maintenant;いま
N3;居間;salon;いま
N3;今に;d'ici peu;いまに
N3;今にも;n'importe quand;いまにも
N5;意味;signification, sens;いみ
N2;;image;イメージ
N5;妹;petite-soeur;いもうと
N5;嫌・否;désagréable, déplaisant;いや
N2;嫌がる [五段];détester;いやがる
N2;愈々;finalement, au dernier moment;いよいよ
N3;以来;depuis;いらい
N3;依頼;demande, requête;いらい
N3;苛々;devenir énervé;いらいら
N5;;bienvenue (dans notre magasin, notre restaurant);"いらっしゃいま
せ"
N4;[五段];venir, arriver (hum);いらっしゃる
N5;入り口;entrée;いりぐち
N3;医療;traitement médical, soins;いりょう
N2;威力;puissance, autorité, influence;いりょく
N5;要る [五段];avoir besoin, nécessiter;いる
N2;煎る・炒る [五段];faire griller, rôtir, faire frire;いる
N2;入れ物;récipient, conteneur;いれもの
N5;入れる [一段];"introduire, mettre dedans, insérer, préparer (du thé,
du café)";いれる
N5;色;couleur;いろ
N5;色々;divers, variés;いろいろ
N3;岩;roc, rocher;いわ
N3;祝う [五段];célébrer, fêter;いわう
N3;言わば;pour ainsi dire, si je puis dire;いわば
N3;所謂;prétendu, soi-disant;いわゆる
N3;;encre;インク・インキ
N3;印刷;impression (de documents);いんさつ
N3;印象;impression (sensation);いんしょう
N3;引退;retraite, isolement;いんたい
N2;;interview, entretien;インタビュー
N3;引用;extrait, citation;いんよう
N2;引力;gravité;いんりょく
N3;;whisky;ウイスキー
N2;;femme;ウーマン
N2;;laine;ウール
N5;上;dessus;うえ
N2;;serveuse, hôtesse;ウエートレス
N2;植木;arbuste, arbre;うえき
N4;植える [一段];planter, faire pousser (fleur, arbre...);うえる
N2;飢える [一段];mourir de faim, être affamé;うえる
N3;含嗽する;se gargariser, se rincer la bouche;うがいする
N2;嗽する;se gargariser, se rincer la bouche;うがいする
N4;伺う [五段];demander, visiter (hum);うかがう
N2;浮かぶ [五段];flotter, faire surface, venir à l'esprit;うかぶ
N2;浮かべる [一段];"faire flotter, montrer (des sentiments), avoir l'air
(triste, heureux)";うかべる
N2;浮く [五段];flotter;うく
N2;承る [五段];entendre, recevoir (un ordre), réserver (une table);うけたまわる
N4;受付;réception, bureau de renseignement;うけつけ
N2;受け取り;reçu, récépissé;うけとり
N3;受け取る [五段];accepter, recevoir, obtenir, prendre, comprendre;うけとる
N2;受け持つ [五段];prendre en charge;うけもつ
N4;受ける [一段];recevoir, accepter, passer (un examen par exemple);うける
N3;動かす [五段];bouger, changer, déplacer, mettre en mouvement;うごかす
N4;動く [五段];bouger;うごく
N3;兎;lapin;うさぎ
N3;牛;vache;うし
N3;失う [五段];perdre, égarer;うしなう
N5;後ろ;derrière;うしろ
N5;薄い;mince, pâle (pour une couleur);うすい
N2;薄暗い;sombre, mal éclairé;うすぐらい
N2;薄める [一段];diluer;うすめる
N4;嘘;mensonge;うそ
N5;歌;chanson, chant;うた
N5;歌う [五段];chanter;うたう
N3;疑う [五段];douter de, suspecter, soupçonner;うたがう
N5;家・内;maison (sa), chez soi;うち
N4;中;entre, parmi;うち
N2;打ち吅わせ;rendez-vous, réunion d'affaire;うちあわせ
N2;打ち吅わせる [一段];organiser (une réunion);うちあわせる
N2;打ち消す [五段];nier, contredire, démentir;うちけす
N5;内で;chez soi;うちで
N3;宇宙;Univers;うちゅう
N4;打つ・撃つ [五段];frapper (une personne), battre;うつ
N2;;par inadvertance, par inattention;うっかり
N4;美しい;belle (envers une femme);うつくしい
N4;写す [五段];copier, reproduire, filmer, photographier;うつす
N3;移す [五段];déplacer, transporter, infecter;うつす
N2;映す [五段];"réfléchir (quelque chose), projeter (un film, une
ombre)";うつす
N3;訴える [一段];"solliciter, faire appel à, poursuivre une personne en
justice, se plaindre auprès de";うったえる
N4;移る [五段];déménager, transférer;うつる
N2;写る [五段];être photographié;うつる
N4;腕;bras;うで
N2;饂飩;udon (nouilles japonaises préparées avec de la farine de blé);うどん
N2;頷く・肯く [五段];acquiescer;うなずく
N3;唸る・呻る [五段];grogner, rugir, gémir, hurler;うなる
N3;奪う [五段];dérober, voler;うばう
N3;馬;cheval;うま
N4;上手い;doué, bon;うまい
N3;生まれ;naissance, lieu de naissance;うまれ
N5;生まれる [一段];naître;うまれる
N5;海;mer;うみ
N2;有無;oui ou non, accord ou refus;うむ
N3;梅;prune, prunier;うめ
N2;埋める [一段];boucher, emplir, enfouir, enterrer;うめる
N2;敬う [五段];respecter;うやまう
N4;裏;côté opposé, derrière, partie cachée du regard;うら
N2;裏返す [五段];retourner, mettre à l'envers;うらがえす
N3;裏切る [五段];trahir;うらぎる
N2;裏口;porte de derrière, porte de service;うらぐち
N2;占う [五段];prévoir, prédire;うらなう
N2;恨み;rancœur, amertume;うらみ
N2;恨む [五段];"maudire, avoir de la rancœur contre quelqu'un, en
vouloir à";うらむ
N2;羨ましい;envieux, jaloux;うらやましい
N2;羨む [五段];envier, jalouser;うらやむ
N2;売上;produit d'une vente, recette (financière);うりあげ
N2;売り切れ;épuisement du stock;うりきれ
N2;売り切れる [一段];être épuisé (un article);うりきれる
N4;売り場;lieu de vente, surface de vente;うりば
N5;売る [五段];vendre;うる
N4;煩い;bruyant, gênant;うるさい
N4;嬉しい;content;うれしい
N2;売れ行き;ventes;うれゆき
N3;売れる [一段];être vendu;うれる
N2;;flânant, marchant sans but;うろうろ
N2;上;du haut, à la surface;うわ
N5;上着;manteau, veste;うわぎ
N3;噂;potin, rumeur;うわさ
N4;;ouais, ok, yeah (marque l'accord);うん
N3;運;fortune, chance, destinée;うん
N4;運転;conduite (d'un véhicule);うんてん
N4;運転手;conducteur;うんてんしゅ
N4;運転する;conduire;うんてんする
N2;;beaucoup, une grande quantité;うんと
N4;運動;mouvement, exercice;うんどう
N4;運動する;faire de l'exercice;うんどうする
N5;絵;image, dessin;え
N3;柄;tige, queue (d'un champignon, d'une fleur);え
N3;永遠;éternel, perpétuel;えいえん
N2;永遠;éternité;えいえん
N5;映画;film;えいが
N5;映画館;cinéma (bâtiment);えいがかん
N3;永久;éternité, perpétuité;えいきゅう
N3;影響;effet, influence;えいきょう
N3;営業;commerce, affaire, business;えいぎょう
N5;英語;langue anglaise;えいご
N3;衛星;satellite;えいせい
N2;衛生;hygiène, santé;えいせい
N2;英文;phrase en anglais, texte anglais;えいぶん
N3;栄養;nutrition, alimentation;えいよう
N2;英和;anglais-japonais (un dictionnaire par exemple);えいわ
N5;;oui, en effet, c'est cela;ええ
N2;;voyons voir..., et bien…;ええと
N3;笑顔;sourire, visage souriant;えがお
N3;描く [五段];décrire, dessiner, tracer;えがく
N5;駅;gare;えき
N2;液体;liquide, fluide;えきたい
N3;餌;appât, nourriture pour animaux;えさ
N4;;escalateur;エスカレーター
N4;枝;branche;えだ
N2;;étiquette, règles de bienséance, protocole;エチケット
N3;;énergie;エネルギー
N2;絵の具;peinture (matière);えのぐ
N2;;tablier;エプロン
N2;偉い;célèbre, éminent, admirable;えらい
N4;選ぶ [五段];choisir;えらぶ
N3;得る [一段];acquérir, obtenir, gagner, remporter;える・うる
N5;;ascenseur;エレベーター
N5;円;yen;えん
N2;園;jardin;えん・その
N2;宴会;banquet, festin, fête;えんかい
N3;演技;"jeu d'un acteur, interprétation, performance d'un
acteur";えんぎ
N3;延期する;remettre à plus tard, ajourner;えんきする
N2;園芸;horticulture, jardinage;えんげい
N2;演劇;pièce de théâtre;えんげき
N2;円周;circonférence;えんしゅう
N3;援助;aide, assistance;えんじょ
N3;;moteur;エンジン
N3;演説;discours, allocution;えんぜつ
N3;演奏;interprétation, représentation musicale;えんそう
N2;遠足;pique-nique, ballade, randonnée;えんそく
N2;延長;élongation, extension, prolongation;えんちょう
N2;煙突;cheminée;えんとつ
N5;鉛筆;crayon;えんぴつ
N4;遠慮;réserve, distance, défiance;えんりょ
N4;遠慮する;être réservé, hésiter;えんりょする
N3;老い;personnes âgées, vieux;おい
N2;;eh !, dis donc !;おい
N2;追いかける [一段];poursuivre quelqu'un, courir après quelqu'un;おいかける
N2;追い越す [五段];dépasser (une voiture, un coureur), distancer;おいこす
N2;甥さん;neveu;おいさん
N5;美味しい;bon, délicieux;おいしい
N3;追い付く [五段];rattraper;おいつく
N5;お出でになる [五段];être, arriver (poli);おいでになる
N2;;huile, pétrole;オイル
N4;お祝い;célébration;おいわい
N3;王;roi, monarque, empereur;おう
N3;追う [五段];poursuivre, pourchasser, courir après;おう
N2;忚援;aide, assistance, appui, renfort;おうえん
N3;王様;roi;おうさま
N3;王子;prince;おうじ
N2;王女;princesse;おうじょ
N3;忚じる [一段];répondre, satisfaire, accepter;おうじる
N2;忚接;réception (pour une occasion);おうせつ
N4;忚接間;salle de réception, salon;おうせつま
N2;忚対する;réceptionner, s'occuper de;おうたいする
N3;横断;traversée, franchissement;おうだん
N2;往復;aller-retour;おうふく
N2;欧米 np;Europe et Etats-Unis, l'Occident;おうべい
N2;忚用;application, utilisation, mise en pratique;おうよう
N3;終える [一段];terminer, finir, achever;おえる
N2;大;grand;おお
N4;多い;beaucoup, nombreux;おおい
N3;大いに;beaucoup, très;おおいに
N3;覆う [五段];recouvrir, cacher, dissimuler;おおう
N5;大きい;grand, large;おおきい
N4;大きな;grand, large;おおきな
N2;;orchestre;オーケストラ
N2;大雑把;en gros, approximatif;おおざっぱ
N5;大勢;foule;おおぜい
N2;大空;cieux, firmament;おおぞら
N2;大通り;rue principale, avenue;おおどおり
N4;;moto;オートバイ
N2;;automatisation;"オートメーショ
ン"
N4;;pardessus;オーバー
N3;大家;propriétaire;おおや
N2;大凡;"grossièrement, approximativement, en règle
générale";おおよそ
N3;丘;colline;おか
N5;お母さん;mère (polie);おかあさん
N4;お帰りなさい;bienvenue à la maison (la notre);おかえりなさい
N4;お陰;soutien, support;おかげ
N2;お掛け下さい;"asseyez-vous s'il vous plait, veuillez vous asseoir s'il
vous plait";おかけください
N4;お陰様で;merci à vous;おかげさまで
N5;お菓子;gâteau, confiserie;おかし
N4;可笑しい;étrange, drôle;おかしい
N2;;"o-kazu (plat principal accompagnant le riz dans les
repas japonais)";おかず
N5;お金;argent, monnaie;おかね
N2;お構いなく;"ne faites pas attention à moi, ne vous inquiétez pas
pour moi";おかまいなく
N2;拝む [五段];vénérer, prier;おがむ
N2;お代わり;un autre plat, un autre verre;おかわり
N3;沖;haute mer, le large;おき
N2;補う [五段];compenser, compléter;おぎなう
N2;お気の毒に;mes condéolances, quel dommage;おきのどくに
N5;起きる [一段];se réveiller, se lever;おきる
N5;置く [五段];poser;おく
N4;億;cent millions;おく
N3;奥;intérieur, partie interne;おく
N2;屋外;extérieur, en plein air, dehors;おくがい
N5;奥さん;épouse (d'un autre);おくさん
N4;屋上;toît;おくじょう
N2;送り仮名;"partie écrite en kana après un kanji pour former un
mot";おくりがな
N4;贈り物;cadeau;おくりもの
N5;送る [五段];envoyer, expédier, accompagner une personne;おくる
N3;贈る [五段];donner, décerner, offrir;おくる
N4;後れる・遅れる [一段];être en retard, être différé;おくれる
N5;お元気で;portez-vous bien, prends soin de toi;おげんきで
N4;お子さん;enfant de quelqu'un d'autre;おこさん
N4;起こす [五段];réveiller, lever;おこす
N2;怠る [五段];être négligent envers, négliger, éviter;おこたる
N4;行う [五段];faire un numéro, exécuter, faire, avoir lieu;おこなう
N4;怒る [五段];se fâcher, se mettre en colère;おこる
N3;起こる [五段];arriver, avoir lieu, se produire;おこる
N2;抑える・押さえる [一段];arrêter, freiner, réprimer, retenir;おさえる
N2;お先に;excusez-moi de partir avant vous;おさきに
N3;幼い;puéril, immature;おさない
N3;"収める・納める・治める
[一段]";fournir, obtenir, stocker, récolter;おさめる
N2;伯父・叔父;oncle;おじ
N2;惜しい;regrettable, décevant, cher, de valeur;おしい
N5;お爺さん;grand-père (polie);おじいさん
N4;押入れ;placard;おしいれ
N5;教える [一段];enseigner, instruire;おしえる
N2;御辞儀;révérence pour saluer, salutation (en s'inclinant en avant);おじぎ
N5;伯父さん・叔父さん;oncle (polie);おじさん
N3;お喋り;papotage, bavardage;おしゃべり
N2;お邪魔します;"excusez-moi de vous déranger, expression utilisée
en entrant dans la maison de quelqu'un d'autre";おじゃまします
N2;お洒落;élégant, bien habillé, coquet;おしゃれ
N4;お嬢さん;jeune femme (poli);おじょうさん
N5;押す [五段];pousser, presser;おす
N2;お世話になる;merci pour tout ce que vous faites pour moi;おせわになる
N3;汚染;pollution, contamination;おせん
N5;遅い;lent;おそい
N3;恐らく;peut-être, probablement;おそらく
N3;畏れる・恐れる [一段];craindre, avoir peur de;おそれる
N3;恐ろしい;épouvantable, effrayant;おそろしい
N2;教わる [五段];recevoir un enseignement;おそわる
N4;お大事に;bon rétablissement (à une personne malade);おだいじに
N2;お互いに;ensemble, réciproquement, mutuellement;おたがいに
N4;お宅;votre maison, votre foyer (hum);おたく
N3;穏やか;calme, tranquille, paisible;おだやか
N2;落ち着く [五段];se calmer, se détendre;おちつく
N5;お茶;thé;おちゃ
N4;落ちる [一段];tomber, chuter;おちる
N4;仰る [五段];dire, parler (poli);おっしゃる
N4;夫;mari, époux;おっと
N5;お手洗い;toilettes;おてあらい
N2;お出かけ;le fait d'être sur le point de partir, de sortir;おでかけ
N2;お手伝いさん;bonne, femme de ménage, femme de chambre;おてつだいさん
N4;音;son (bruit);おと・ね
N5;お父さん;père (polie);おとうさん
N5;弟;petit-frère;おとうと
N2;"脅かす・威かす・嚇かす
[五段]";menacer, intimider, forcer, surprendre;おどかす
N5;男;homme;おとこ
N5;男の子;garçon;おとこのこ
N3;男の人;homme, personne de sexe masculin;おとこのひと
N2;落し物;objet perdu;おとしもの
N4;落とす [五段];laisser tomber, faire tomber;おとす
N5;一昨日;avant-hier;"おととい・いっ
さくじつ"
N5;一昨年;l'année avant l'année dernière, il y a 2 ans;"おととし・いっ
さくねん"
N5;大人;adulte, grande personne;おとな
N2;大人しい;docile, calme;おとなしい
N4;踊り;danse;おどり
N3;务る [五段];être inférieur à, être plus petit que;おとる
N4;踊る [五段];danser;おどる
N2;驚かす [五段];surprendre, effrayer;おどろかす
N4;驚く [五段];être surpris, être étonné;おどろく
N5;お腹;ventre, estomac;おなか
N5;同じ;identique, égal;おなじ
N3;鬼;démon, monstre;おに
N5;お兄さん;grand-frère (polie);おにいさん
N5;お姉さん;grande-soeur (polie);おねえさん
N5;お願いします;s'il vous plaît;おねがいします
N3;各々;respectivement, chacun respectivement, tour à tour;"おのおの・それ
ぞれ"
N5;伯母・叔母;tante;おば
N5;お婆さん;grand-mère (polie);おばあさん
N5;伯母さん・叔母さん;tante (polie);おばさん
N5;お早う御座います;bonjour (le matin);おはようござ�,,ます
N3;帯;ceinture de kimono;おび
N3;-;bureau (du travail);オフィス
N5;お弁当;bentô, panier-repas japonais;おべんとう
N5;覚える [一段];se souvenir;おぼえる
N3;溺れる [一段];se noyer, se livrer à;おぼれる
